,file_name,game_age,game_cat,game_fans,game_players,game_time,game_weight
0,html_files_games\_boardgame_100089_inspector-moss-house-arrest.html,Age: 10+,,21,1 Players,30 Min,1.85 / 5
1,html_files_games\_boardgame_100104_rush-hour-scramble.html,Age: 8+,,2,2–4 Players,20 Min,1.67 / 5
2,html_files_games\_boardgame_100169_hero-weehawken.html,Age: 13+,"Rank: Overall 3,997 Thematic 568",28,1 Players,45 Min,2.16 / 5
3,html_files_games\_boardgame_100172_seven-sisters.html,Age: 12+,"Rank: Overall 5,757 Thematic 723 Strategy 1,583",35,3–6 Players,60 Min,2.41 / 5
4,html_files_games\_boardgame_10022_la-revolution-francaise-la-patrie-en-danger-1790-1.html,Age: 10+,,11,4–6 Players,180 Min,3.60 / 5
5,html_files_games\_boardgame_1002_cosmic-eidex.html,Age: 10+,"Rank: Overall 2,819 Strategy 1,133",11,3 Players,60 Min,2.68 / 5
6,html_files_games\_boardgame_100423_elder-sign.html,Age: 13+,Rank: Overall 491 Thematic 160,"1,535",1–8 Players,90 Min,2.36 / 5
7,html_files_games\_boardgame_100473_string-railway-transport.html,Age: 10+,"Rank: Overall 5,567",4,2–5 Players,60 Min,1.83 / 5
8,html_files_games\_boardgame_100679_ultimate-warriorz.html,Age: 8+,"Rank: Overall 1,934 Party 100",30,2–8 Players,30 Min,1.31 / 5
9,html_files_games\_boardgame_100734_my-happy-farm.html,Age: 8+,"Rank: Overall 3,240 Family 868",27,2–4 Players,45 Min,1.68 / 5
10,html_files_games\_boardgame_100795_micro-monsters.html,Age: 6+,,3,2–4 Players,30 Min,1.00 / 5
11,html_files_games\_boardgame_10081_axis-allies-d-day.html,Age: 12+,"Rank: Overall 2,266 War 702",75,2–3 Players,120 Min,2.38 / 5
12,html_files_games\_boardgame_100901_flash-point-fire-rescue.html,Age: 10+,Rank: Overall 275 Thematic 93 Family 49,983,2–6 Players,45 Min,2.21 / 5
13,html_files_games\_boardgame_10093_axis-allies.html,Age: 12+,"Rank: Overall 1,154 War 418",184,2–5 Players,240 Min,3.21 / 5
14,html_files_games\_boardgame_101013_ninja-legend-scorpion-clan.html,Age: 12+,"Rank: Overall 3,178 Thematic 513 Strategy 1,266",83,2–4 Players,45 Min,2.65 / 5
15,html_files_games\_boardgame_101020_pax.html,Age: 10+,"Rank: Overall 2,184 Strategy 971",28,1–4 Players,30–45 Min,2.14 / 5
